"work_id","Primary_NAICS_Code","size","employees","FIPS","LAT","LON"
13518,62134007,"1-4",3,"37019",33.893444,-78.498009
13522,45399847,"1-4",1,"37019",34.071157,-78.5336
13537,81311008,"1-4",2,"37019",34.147159,-78.51439
13547,81311008,"5-24",6,"37019",33.961182,-78.082091
13553,81211202,"1-4",1,"37019",34.044087,-78.186002
13560,62121003,"1-4",3,"37019",33.909075,-78.082344
13569,92112007,"5-24",6,"37019",34.057331,-78.164459
13577,53132003,"1-4",2,"37019",33.930445,-78.049504
13583,92112007,"5-24",14,"37019",34.057762,-78.163452
13590,54111002,"1-4",1,"37019",33.951601,-78.049752
13598,92112007,"5-24",11,"37019",34.0046,-78.194
13706,81311008,"1-4",1,"37019",33.907506,-78.558202
13736,52211002,"5-24",5,"37019",34.209835,-78.028224
13742,81311008,"1-4",1,"37019",34.179692,-78.086286
13752,81311008,"1-4",2,"37019",34.0517,-78.516
13759,81311008,"1-4",4,"37019",33.943971,-78.348388
13767,81311008,"1-4",1,"37019",33.985872,-78.37052
13774,81311008,"5-24",8,"37019",33.907484,-78.490891
13786,81311008,"1-4",1,"37019",33.930847,-78.268102
13796,81311008,"1-4",2,"37019",33.961079,-78.323295
14103,42332006,"1-4",2,"37019",33.967489,-78.031367
14114,92112007,"5-24",19,"37019",34.0046,-78.194
14115,62111107,"1-4",3,"37019",33.928545,-78.021914
14129,92112007,"1-4",4,"37019",34.058202,-78.164937
14130,45322013,"1-4",2,"37019",33.918953,-78.019247
14142,54199009,"1-4",2,"37019",33.926903,-78.022003
14143,92112007,"1-4",3,"37019",34.058202,-78.164937
14159,45392002,"1-4",3,"37019",33.917719,-78.018899
14173,71391002,"5-24",7,"37019",33.928618,-78.063752
14177,71219004,"1-4",1,"37019",34.063044,-78.511994
14191,23816014,"1-4",4,"37019",34.045394,-78.032413
14431,81211101,"1-4",2,"37019",34.2371,-78.004531
14437,44611009,"5-24",18,"37019",33.928939,-78.272082
14445,23721005,"1-4",2,"37019",34.010963,-78.286803
14447,62419012,"1-4",1,"37019",33.94171,-78.05797
14453,54111002,"1-4",4,"37019",33.926903,-78.022003
14462,54111002,"1-4",2,"37019",33.92086,-78.020257
14472,54111002,"1-4",2,"37019",33.918521,-78.018962
14480,62111107,"1-4",3,"37019",33.928545,-78.021914
14490,23816014,"1-4",4,"37019",34.043945,-78.031922
14495,62121003,"1-4",4,"37019",33.948511,-78.022379
14605,54111002,"1-4",3,"37019",33.934459,-78.024101
14612,23819009,"1-4",2,"37019",33.977,-78.3799
14621,53212016,"1-4",2,"37019",33.941746,-78.059232
14627,44512001,"1-4",1,"37019",34.030493,-78.068097
14634,92216003,"5-24",5,"37019",33.920285,-78.018701
14640,92216003,"1-4",2,"37019",34.032017,-78.067964
14649,92112006,"5-24",9,"37019",33.9587,-78.0503
14652,81141201,"1-4",3,"37019",33.972356,-78.295692
14661,72251512,"1-4",4,"37019",33.911887,-78.106722
14668,81211202,"1-4",3,"37019",34.00476,-78.304733
14675,72251117,"5-24",8,"37019",33.912632,-78.109147
14681,42314004,"1-4",2,"37019",34.02208,-78.265496
14690,56131102,"1-4",1,"37019",33.908134,-78.075036
14696,81119201,"1-4",2,"37019",33.970886,-78.261022
15008,44221010,"1-4",2,"37019",33.937795,-78.06202
15015,53212016,"1-4",2,"37019",33.952211,-78.063383
15024,45113015,"1-4",4,"37019",33.923188,-78.021032
15031,52393002,"5-24",5,"37019",33.961075,-78.080315
15042,92112006,"1-4",2,"37019",33.918055,-78.016685
