"work_id","Primary_NAICS_Code","size","employees","FIPS","LAT","LON"
282,45113007,"100-499",173,"37001",36.110476,-79.462618
457,51511203,"5-24",7,"37001",36.1792,-79.4957
562,81311008,"1-4",4,"37001",36.0467,-79.3348
566,45113007,"1-4",1,"37001",36.092516,-79.363283
571,49111001,"1-4",2,"37001",36.095274,-79.355272
821,81311008,"1-4",4,"37001",36.024914,-79.357529
983,48819004,"5-24",24,"37001",36.04864,-79.4803
988,48819004,"25-99",41,"37001",36.04864,-79.4803
993,44112005,"1-4",2,"37001",36.013754,-79.513724
1009,72251117,"1-4",3,"37001",36.143158,-79.422354
1220,71211001,"1-4",1,"37001",36.0687,-79.4685
1225,23822025,"5-24",10,"37001",36.189654,-79.501978
1492,52393002,"1-4",4,"37001",36.082375,-79.51535
1504,81111104,"1-4",1,"37001",36.083462,-79.425917
1511,62441006,"5-24",17,"37001",36.043783,-79.466606
1986,44611009,"5-24",7,"37001",36.094291,-79.405616
1992,72251115,"5-24",10,"37001",36.095097,-79.397659
1999,45391003,"1-4",2,"37001",36.056694,-79.401146
2052,81311008,"1-4",2,"37001",36.097712,-79.448368
2076,81311008,"1-4",1,"37001",36.1148,-79.434628
2257,81311008,"1-4",4,"37001",36.097455,-79.513438
2413,62331101,"5-24",8,"37001",36.100445,-79.419365
2526,52229103,"1-4",2,"37001",36.094257,-79.406601
2646,81311008,"1-4",1,"37001",36.1423,-79.4076
2675,54199002,"1-4",2,"37001",36.090631,-79.411846
2849,81112103,"1-4",1,"37001",36.138457,-79.497868
2854,42399019,"25-99",36,"37001",36.049156,-79.451304
2860,44419028,"1-4",2,"37001",36.079367,-79.424912
2872,81311008,"1-4",1,"37001",36.025153,-79.477935
3759,81211101,"1-4",2,"37001",36.093708,-79.437933
3765,53121003,"1-4",1,"37001",36.092145,-79.43692
3771,81311008,"5-24",23,"37001",36.053904,-79.422627
3777,52421001,"1-4",2,"37001",36.089647,-79.432961
3785,81311008,"5-24",15,"37001",36.09479,-79.442504
4326,62419012,"5-24",5,"37001",36.094012,-79.443179
4331,62419012,"5-24",6,"37001",36.075918,-79.465975
4337,81311008,"1-4",2,"37001",36.088486,-79.431397
4342,32721503,"1-4",2,"37001",36.087193,-79.430784
4346,44811006,"1-4",3,"37001",36.086612,-79.431032
4351,32312025,"1-4",1,"37001",36.086886,-79.430463
4356,44412003,"1-4",1,"37001",36.081139,-79.508492
5978,62111107,"1-4",3,"37001",36.06091,-79.50163
6133,44512001,"1-4",2,"37001",36.067905,-79.43676
6135,51119908,"5-24",19,"37001",35.930812,-79.379985
6146,62411004,"1-4",1,"37001",36.068697,-79.401796
6154,44531001,"1-4",1,"37001",36.068987,-79.401146
6166,62199921,"5-24",5,"37001",36.056662,-79.454856
6204,23822025,"1-4",1,"37001",36.039046,-79.37511
7011,44611009,"5-24",9,"37001",36.090397,-79.479309
7021,81311008,"1-4",3,"37001",36.081291,-79.490128
7026,44419031,"1-4",2,"37001",36.086091,-79.430631
7031,42399011,"1-4",1,"37001",36.075872,-79.441083
7093,52391001,"1-4",1,"37001",36.07991,-79.288556
7094,52421001,"1-4",2,"37001",36.089167,-79.448932
7344,81311008,"1-4",1,"37001",36.073989,-79.44012
7358,44419012,"25-99",51,"37001",36.090333,-79.445472
7363,44413005,"5-24",24,"37001",36.06978,-79.399493
7368,51111003,"5-24",5,"37001",36.069061,-79.401424
7378,42491007,"1-4",3,"37001",36.068952,-79.399315
7424,92412003,"1-4",3,"37001",36.098438,-79.40555
7429,92112007,"1-4",4,"37001",36.098438,-79.40555
7434,92112009,"1-4",2,"37001",36.098438,-79.40555
7439,92112007,"1-4",2,"37001",36.068185,-79.402256
7449,62121003,"1-4",4,"37001",36.067366,-79.398208
7454,54121903,"5-24",8,"37001",36.069819,-79.403885
7473,62132003,"1-4",2,"37001",36.062839,-79.496571
7495,62111107,"1-4",2,"37001",36.099581,-79.441133
7502,62441003,"5-24",20,"37001",36.069926,-79.405706
7517,54121910,"1-4",1,"37001",36.056444,-79.379295
7527,72251117,"1-4",2,"37001",36.070611,-79.409965
7572,54111002,"1-4",1,"37001",36.082096,-79.515732
7581,72251117,"5-24",6,"37001",36.071371,-79.409941
7586,53121005,"1-4",1,"37001",36.071697,-79.411285
7591,33995008,"5-24",5,"37001",36.107816,-79.445363
7621,42383006,"1-4",3,"37001",36.078007,-79.385016
7622,54111002,"1-4",1,"37001",36.068773,-79.400801
7628,62111107,"1-4",3,"37001",36.062839,-79.496571
7669,62121003,"1-4",2,"37001",36.092293,-79.46182
7674,23611506,"1-4",4,"37001",36.064066,-79.512743
7679,62121003,"1-4",1,"37001",36.092575,-79.461258
7688,54111002,"1-4",2,"37001",36.077573,-79.494731
7732,42391054,"5-24",8,"37001",36.1114,-79.479115
7763,54111002,"1-4",1,"37001",36.090243,-79.437274
7778,62441003,"5-24",8,"37001",36.182481,-79.49852
7783,49111001,"1-4",1,"37001",36.1838,-79.503
7908,53121005,"5-24",5,"37001",36.184472,-79.348965
7946,44611008,"1-4",2,"37001",36.091759,-79.43908
7953,62111107,"1-4",3,"37001",36.212905,-79.397053
8384,52421001,"5-24",11,"37001",36.080425,-79.478439
8390,72251115,"5-24",24,"37001",36.101765,-79.512803
8396,62331206,"1-4",3,"37001",36.104525,-79.493245
8402,62111107,"5-24",11,"37001",36.104526,-79.520995
8414,81331904,"25-99",28,"37001",36.09927,-79.438442
8468,81211202,"1-4",1,"37001",36.071697,-79.411285
8478,62111107,"1-4",1,"37001",36.082799,-79.514497
8518,81211202,"1-4",1,"37001",36.067295,-79.39962
8790,81311008,"25-99",30,"37001",36.096678,-79.43854
8923,81311008,"5-24",9,"37001",36.099584,-79.436927
8946,81311008,"1-4",4,"37001",36.049051,-79.431084
8951,81111104,"1-4",3,"37001",36.073623,-79.340373
8955,81311008,"1-4",1,"37001",36.11755,-79.46819
8966,81311008,"1-4",1,"37001",36.119444,-79.46542
8972,23611505,"1-4",4,"37001",36.073622,-79.442626
8989,81311008,"1-4",2,"37001",36.08024,-79.427392
9117,81311008,"5-24",5,"37001",35.989676,-79.4668
9123,53111002,"1-4",3,"37001",36.058229,-79.448895
9129,45399804,"1-4",4,"37001",36.093445,-79.436081
9135,72251117,"5-24",7,"37001",36.094637,-79.437844
9141,92112008,"1-4",1,"37001",36.095173,-79.437269
9147,92212003,"1-4",4,"37001",36.095173,-79.437269
9153,92212003,"25-99",89,"37001",36.095173,-79.437269
9159,92212003,"5-24",5,"37001",36.095173,-79.437269
9165,32311109,"1-4",2,"37001",36.079838,-79.463371
9171,54138023,"5-24",6,"37001",36.095966,-79.439255
9177,52393002,"1-4",1,"37001",36.081545,-79.470078
9183,81311008,"1-4",2,"37001",36.09698,-79.439379
9201,23611505,"25-99",76,"37001",36.097618,-79.483725
9215,62441003,"1-4",2,"37001",36.105068,-79.424672
9240,33271002,"25-99",40,"37001",36.055226,-79.455898
9273,23835002,"1-4",2,"37001",35.978329,-79.464446
9337,33399921,"25-99",47,"37001",36.167975,-79.516566
9353,31331035,"25-99",59,"37001",36.059621,-79.469889
9361,56221908,"5-24",23,"37001",36.05833,-79.38928
9367,44719005,"1-4",3,"37001",36.115236,-79.430871
9375,81221002,"5-24",13,"37001",36.08858,-79.450227
9414,23611505,"5-24",13,"37001",36.124276,-79.46897
9422,45113007,"25-99",78,"37001",36.122519,-79.404204
9430,42472025,"5-24",24,"37001",36.083816,-79.37862
9453,72251117,"25-99",53,"37001",36.096534,-79.406402
9460,44419049,"1-4",4,"37001",36.090038,-79.40551
9483,44411002,"100-499",223,"37001",36.07949,-79.481928
9498,62441003,"1-4",3,"37001",36.087105,-79.408173
9505,42383000,"5-24",7,"37001",36.0869,-79.421527
9531,81311008,"1-4",3,"37001",36.118596,-79.40897
9539,71131003,"1-4",2,"37001",36.088161,-79.408538
9547,48841006,"25-99",29,"37001",36.120664,-79.408639
9562,44211012,"5-24",11,"37001",36.079258,-79.516153
9577,92112006,"1-4",4,"37001",36.116619,-79.347103
9878,61111007,"5-24",22,"37001",36.101837,-79.466843
9960,81311008,"5-24",6,"37001",36.081509,-79.519176
9966,44422011,"1-4",2,"37001",35.898301,-79.293548
10047,44512001,"5-24",15,"37001",36.103218,-79.5072
10223,81311008,"1-4",1,"37001",36.0288,-79.3791
10229,42383024,"5-24",18,"37001",36.087247,-79.389384
10239,23822002,"1-4",3,"37001",36.083758,-79.400753
10294,23821038,"5-24",11,"37001",36.08677,-79.38587
10325,81119201,"1-4",4,"37001",36.071171,-79.408855
10331,53121002,"1-4",4,"37001",36.070911,-79.399921
10367,61161011,"5-24",18,"37001",36.057285,-79.402439
10377,81311008,"5-24",9,"37001",36.070147,-79.402813
10382,81311021,"1-4",1,"37001",36.068039,-79.47563
10387,44132001,"5-24",8,"37001",36.07126,-79.405855
10393,81311008,"1-4",4,"37001",36.071602,-79.394721
