"work_id","Primary_NAICS_Code","size","employees","FIPS","LAT","LON"
41545,81311027,"1-4",1,"37013",35.424311,-77.130466
44197,42393017,"5-24",6,"37013",35.425055,-77.130139
47343,81311008,"1-4",3,"37013",35.392838,-77.122768
110895,44112005,"1-4",3,"37013",35.42806,-77.128126
111372,54137002,"1-4",4,"37013",35.422767,-77.131138
113010,53212016,"1-4",2,"37013",35.421597,-77.131363
171311,92112006,"1-4",3,"37013",35.546528,-77.052528
171325,81222002,"1-4",2,"37013",35.541841,-77.055447
171341,92112006,"1-4",1,"37013",35.5576,-77.0279
171343,81112102,"1-4",2,"37013",35.559422,-77.000374
171357,92112006,"1-4",3,"37013",35.566971,-77.073624
195832,44413005,"5-24",10,"37013",35.551346,-76.628532
195843,48423015,"25-99",37,"37013",35.559564,-76.579216
198151,61121002,"100-499",147,"37013",35.53252,-76.964928
198169,51912006,"1-4",1,"37013",35.4674,-76.776
198187,51912006,"1-4",3,"37013",35.537949,-76.62013
198195,48811907,"1-4",3,"37013",35.37702,-76.748612
198294,44512001,"5-24",6,"37013",35.561609,-77.062057
198765,48121903,"1-4",1,"37013",35.577846,-76.955922
198772,81112102,"1-4",1,"37013",35.563595,-76.987885
198784,61161005,"1-4",2,"37013",35.573405,-77.101247
198790,11331003,"5-24",6,"37013",35.582983,-76.853875
198806,48599906,"5-24",15,"37013",35.558693,-77.069504
198815,99999004,"1-4",3,"37013",35.543265,-77.058083
198816,92112007,"1-4",2,"37013",35.549912,-77.035554
198837,92112007,"5-24",5,"37013",35.572051,-77.041448
198847,92112007,"1-4",2,"37013",35.542714,-77.054951
198859,92216003,"25-99",43,"37013",35.508178,-77.093242
198874,92216003,"25-99",30,"37013",35.4158,-76.9395
198889,72251117,"5-24",9,"37013",35.560772,-77.064156
198901,45111003,"1-4",3,"37013",35.481617,-76.868187
198913,56174001,"5-24",24,"37013",35.603706,-77.137412
198926,81311008,"1-4",1,"37013",35.557972,-77.044655
198949,81311008,"1-4",1,"37013",35.569027,-77.065308
198961,81311008,"1-4",4,"37013",35.3075,-76.7708
198987,81311008,"1-4",2,"37013",35.29856,-76.839115
198994,72251117,"5-24",9,"37013",35.551681,-77.049242
199028,81311008,"1-4",1,"37013",35.4773,-77.0758
199034,54111002,"1-4",4,"37013",35.586636,-77.097809
199043,81311008,"1-4",1,"37013",35.603762,-76.748864
199055,33399909,"1-4",1,"37013",35.5576,-77.0279
199071,11251101,"1-4",2,"37013",35.54611,-76.731547
199079,44419053,"5-24",7,"37013",35.603604,-77.136886
199102,44511003,"25-99",75,"37013",35.534265,-77.021804
199116,52229101,"5-24",5,"37013",35.552089,-77.057831
199131,81211302,"1-4",2,"37013",35.561322,-77.059401
199141,23611512,"1-4",1,"37013",35.463894,-76.786023
199144,81111202,"1-4",1,"37013",35.4773,-77.0758
199159,53121003,"1-4",1,"37013",35.475595,-76.806524
199176,53212016,"1-4",1,"37013",35.589713,-76.663605
199299,62111107,"1-4",2,"37013",35.549453,-77.037891
199355,44112005,"1-4",3,"37013",35.549147,-77.058215
199398,62139932,"1-4",1,"37013",35.546313,-77.053453
199408,33312009,"1-4",1,"37013",35.647948,-77.069062
199755,44511003,"1-4",3,"37013",35.542234,-77.057637
199950,54161830,"1-4",2,"37013",35.497373,-77.055554
200093,53121005,"1-4",2,"37013",35.559753,-77.070587
200151,11199803,"1-4",3,"37013",35.480896,-77.095047
200322,53121004,"1-4",1,"37013",35.498978,-76.680908
200503,81291021,"1-4",2,"37013",35.542087,-77.054577
200506,53223009,"1-4",3,"37013",35.560219,-77.063126
200513,53223009,"1-4",3,"37013",35.548182,-77.039081
200672,99999004,"1-4",3,"37013",35.4674,-76.776
200711,81311008,"1-4",4,"37013",35.3075,-76.7708
200754,33712215,"5-24",16,"37013",35.542159,-77.054845
200880,62131002,"1-4",3,"37013",35.560865,-77.057182
200900,23821007,"1-4",2,"37013",35.55069,-76.985408
201125,45331001,"1-4",1,"37013",35.543098,-77.057518
201135,54199009,"1-4",1,"37013",35.564915,-77.035601
201301,81211202,"1-4",1,"37013",35.475639,-77.099052
201334,54133011,"1-4",4,"37013",35.539832,-77.049127
201898,56171009,"5-24",13,"37013",35.582704,-77.093998
202082,42383035,"1-4",3,"37013",35.557136,-77.058905
203428,81211202,"1-4",2,"37013",35.542287,-77.056096
203631,44419069,"1-4",2,"37013",35.544892,-77.001286
204051,62133002,"1-4",1,"37013",35.560219,-77.063126
206415,52211001,"5-24",5,"37013",35.4773,-77.0758
211782,62419036,"1-4",1,"37013",35.542234,-77.057637
213440,23611506,"1-4",3,"37013",35.539452,-77.052109
213443,81311008,"1-4",2,"37013",35.5696,-76.8185
213451,71391002,"5-24",16,"37013",35.497404,-77.053831
213460,81311008,"1-4",3,"37013",35.4773,-77.0758
213468,81311008,"1-4",1,"37013",35.515689,-77.1019
213473,62111107,"1-4",2,"37013",35.548192,-77.039811
213503,54121101,"1-4",2,"37013",35.551878,-77.062706
213509,33911604,"1-4",3,"37013",35.548373,-77.041368
213520,33341304,"25-99",99,"37013",35.571865,-77.087921
213530,62131002,"1-4",3,"37013",35.556133,-77.060648
213532,62111107,"1-4",1,"37013",35.548192,-77.039811
213538,44131011,"5-24",11,"37013",35.561584,-77.058442
213546,81221002,"5-24",16,"37013",35.537147,-76.979479
213553,62111107,"1-4",1,"37013",35.550314,-77.035011
