"NAME","sch_id","FIPS","LAT","LON","TYPE"
"B C ED TECH CENTER","370033001360",37013,35.5442,-77.0487,"Public"
"BATH ELEMENTARY","370033000091",37013,35.4754,-76.8109,"Public"
"BEAUFORT CO EARLY COLLEGE HIGH","370033003011",37013,35.5336,-76.9654,"Public"
"CHOCOWINITY MIDDLE","370033002503",37013,35.5096,-77.102,"Public"
"CHOCOWINITY PRIMARY","370033002106",37013,35.4987,-77.0947,"Public"
"EASTERN ELEMENTARY","370033001922",37013,35.5457,-77.0349,"Public"
"JOHN C TAYLOE ELEMENTARY","370033001923",37013,35.5586,-77.0645,"Public"
"JOHN SMALL ELEMENTARY","370033001924",37013,35.600183,-77.032483,"Public"
"NORTHEAST ELEMENTARY","370033002568",37013,35.5383,-76.7094,"Public"
"NORTHSIDE HIGH","370033002224",37013,35.5366,-76.7301,"Public"
"P S JONES MIDDLE","370033001925",37013,35.599598,-77.034607,"Public"
"S W SNOWDEN ELEMENTARY","370033000098",37013,35.3068,-76.7929,"Public"
"SOUTHSIDE HIGH","370033002504",37013,35.4462,-77.0572,"Public"
"WASHINGTON HIGH","370033001926",37013,35.5575,-77.0135,"Public"
"WASHINGTON MONTESSORI","370010102502",37013,35.539819,-76.979612,"Charter"
"TERRA CEIA CHRISTIAN SCHOOL","01011623",37013,35.602086,-76.764548,"Private"
"PUNGO CHRISTIAN ACADEMY","01012263",37013,35.549127,-76.635067,"Private"
"UNITY CHRISTIAN ACADEMY","A1302224",37013,35.422441,-77.079355,"Private"
