"NAME","sch_id","FIPS","LAT","LON","TYPE"
"ALEXANDER CENTRAL HIGH","370009000028",37003,35.917,-81.1889,"Public"
"ALEXANDER EARLY COLLEGE","370009003396",37003,35.910603,-81.181434,"Public"
"BETHLEHEM ELEMENTARY","370009000029",37003,35.836923,-81.312119,"Public"
"EAST ALEXANDER MIDDLE","370009002148",37003,35.9297,-81.1228,"Public"
"ELLENDALE ELEMENTARY","370009000032",37003,35.9284,-81.2789,"Public"
"HIDDENITE ELEMENTARY","370009000031",37003,35.9067,-81.0899,"Public"
"STONY POINT ELEMENTARY","370009000033",37003,35.8697,-81.0484,"Public"
"SUGAR LOAF ELEMENTARY","370009000034",37003,35.9704,-81.1917,"Public"
"TAYLORSVILLE ELEMENTARY","370009000030",37003,35.9203,-81.1831,"Public"
"WEST ALEXANDER MIDDLE","370009000035",37003,35.8731,-81.3121,"Public"
"WITTENBURG ELEMENTARY","370009000036",37003,35.8275,-81.2416,"Public"
"MILLERSVILLE CHRISTIAN ACADEMY","A1903343",37003,35.85319,-81.185601,"Private"
