"NAME","sch_id","FIPS","LAT","LON","TYPE"
"ANSON ACADEMY","370018002367",37007,34.961473,-80.079635,"Public"
"ANSON CO. EARLY COLLEGE HIGH","370018002748",37007,35.000452,-80.211222,"Public"
"ANSON HIGH SCHOOL","370018002054",37007,34.9774,-80.1028,"Public"
"ANSON MIDDLE","370018002056",37007,34.9892,-80.0894,"Public"
"ANSONVILLE ELEMENTARY","370018000042",37007,35.1054,-80.1064,"Public"
"LILESVILLE ELEMENTARY","370018000049",37007,34.9631,-79.989,"Public"
"MORVEN ELEMENTARY","370018000046",37007,34.879726,-80.007345,"Public"
"PEACHLAND-POLKTON ELEM","370018000953",37007,34.9956,-80.2304,"Public"
"WADESBORO ELEMENTARY","370018000050",37007,34.9623,-80.0791,"Public"
"WADESBORO PRIMARY","370018000044",37007,34.9427,-80.0562,"Public"
