"NAME","sch_id","FIPS","LAT","LON","TYPE"
"ASHEVILLE HIGH","370027000070",37021,35.5729,-82.5531,"Public"
"ASHEVILLE MIDDLE","370027000079",37021,35.586731,-82.560101,"Public"
"ASHEVILLE PRIMARY","370027003436",37021,35.578284,-82.581575,"Public"
"AVERY'S CREEK ELEMENTARY","370045001781",37021,35.4776,-82.5792,"Public"
"BARNARDSVILLE ELEMENTARY","370045001003",37021,35.7753,-82.46,"Public"
"BELL ELEMENTARY","370045000139",37021,35.5896,-82.4932,"Public"
"BLACK MOUNTAIN ELEMENTARY","370045001361",37021,35.6222,-82.3141,"Public"
"BLACK MOUNTAIN PRIMARY","370045000138",37021,35.6207,-82.318,"Public"
"CANDLER ELEMENTARY","370045000140",37021,35.5382,-82.7001,"Public"
"CANE CREEK MIDDLE","370045002507",37021,35.4845,-82.4336,"Public"
"CLAXTON ELEMENTARY","370027000072",37021,35.6078,-82.5532,"Public"
"COMMUNITY HIGH SCHOOL","370045002203",37021,35.6028,-82.4042,"Public"
"EARLY COLLEGE","370045002661",37021,35.5707,-82.556,"Public"
"EBLEN INTERMEDIATE","370045003191",37021,35.618898,-82.619454,"Public"
"EMMA ELEMENTARY","370045000146",37021,35.5982,-82.5919,"Public"
"ENKA HIGH","370045000147",37021,35.5297,-82.6658,"Public"
"ENKA INTERMEDIATE","370045003383",37021,35.543721,-82.637251,"Public"
"ENKA MIDDLE","370045000161",37021,35.5522,-82.6647,"Public"
"ERWIN HIGH","370045000143",37021,35.6195,-82.6264,"Public"
"ERWIN MIDDLE","370045000144",37021,35.6182,-82.6296,"Public"
"ESTES ELEMENTARY","370045002063",37021,35.4879,-82.5401,"Public"
"FAIRVIEW ELEMENTARY","370045000148",37021,35.5227,-82.411,"Public"
"GLEN ARDEN ELEMENTARY","370045000151",37021,35.4697,-82.4971,"Public"
"HALL FLETCHER ELEMENTARY","370027000071",37021,35.5746,-82.5741,"Public"
"HAW CREEK ELEMENTARY","370045000152",37021,35.59482,-82.505391,"Public"
"HOMINY VALLEY ELEMENTARY","370045002508",37021,35.5345,-82.6643,"Public"
"IRA B JONES ELEMENTARY","370027000076",37021,35.6304,-82.5496,"Public"
"ISAAC DICKSON ELEMENTARY","370027002202",37021,35.5952,-82.5647,"Public"
"JOHNSTON ELEMENTARY","370045000153",37021,35.5866,-82.62,"Public"
"KOONTZ INTERMEDIATE","370045003190",37021,35.484,-82.5398,"Public"
"LEICESTER ELEMENTARY","370045000154",37021,35.6589,-82.7071,"Public"
"LUCY S. HERRING ELEMENTARY","370027000080",37021,35.5773,-82.6009,"Public"
"MIDDLE COLLEGE","370045002974",37021,35.5705,-82.556,"Public"
"MONTFORD NORTH STAR ACADEMY","370027003435",37021,35.597998,-82.561145,"Public"
"NESBITT DISCOVERY ACADEMY","370045003320",37021,35.6068,-82.5837,"Public"
"NORTH BUNCOMBE ELEMENTARY","370045002259",37021,35.7457,-82.568,"Public"
"NORTH BUNCOMBE HIGH","370045000156",37021,35.7397,-82.5576,"Public"
"NORTH BUNCOMBE MIDDLE","370045002192",37021,35.7159,-82.5582,"Public"
"NORTH WINDY RIDGE INTERMEDIATE","370045002622",37021,35.7259,-82.5515,"Public"
"OAKLEY ELEMENTARY","370045000157",37021,35.5642,-82.5125,"Public"
"OWEN HIGH","370045000142",37021,35.6189,-82.3737,"Public"
"OWEN MIDDLE","370045002286",37021,35.607,-82.3751,"Public"
"PISGAH ELEMENTARY","370045000159",37021,35.5038,-82.7316,"Public"
"REYNOLDS HIGH","370045000133",37021,35.5468,-82.4771,"Public"
"REYNOLDS MIDDLE","370045000134",37021,35.5492,-82.4777,"Public"
"ROBERSON HIGH","370045000164",37021,35.4859,-82.5351,"Public"
"SAND HILL-VENABLE ELEM","370045000626",37021,35.5543,-82.64,"Public"
"SCHOOL OF INQUIRY AND LIFE SCIENCES","370027002749",37021,35.5727,-82.5523,"Public"
"VALLEY SPRINGS MIDDLE","370045000165",37021,35.4847,-82.5415,"Public"
"WEAVERVILLE ELEMENTARY","370045000167",37021,35.6896,-82.5628,"Public"
"WEAVERVILLE PRIMARY","370045000168",37021,35.6948,-82.5609,"Public"
"WEST BUNCOMBE ELEMENTARY","370045000169",37021,35.6176,-82.6215,"Public"
"WILLIAMS ELEMENTARY","370045000163",37021,35.6042,-82.4029,"Public"
"WOODFIN ELEMENTARY","370045000170",37021,35.6324,-82.5852,"Public"
"ARTSPACE CHARTER SCHOOL","370011702569",37021,35.5947,-82.4287,"Charter"
"EVERGREEN COMMUNITY CHARTER","370007802430",37021,35.6031,-82.4988,"Charter"
"FRANCINE DELANY NEW SCHOOL","370001702069",37021,35.5736,-82.5942,"Charter"
"IC IMAGINE","370036903340",37021,35.546277,-82.613613,"Charter"
"THE FRANKLIN SCHOOL OF INNOVATION","370036103332",37021,35.541856,-82.630649,"Charter"
