"NAME","sch_id","FIPS","LAT","LON","TYPE"
"EMMANUEL LUTHERAN SCHOOL","01011317",37021,35.586039,-82.602633,"Private"
"ASHEVILLE CHRISTIAN ACADEMY","01011576",37021,35.604755,-82.410884,"Private"
"CAROLINA DAY SCHOOL","01011678",37021,35.524645,-82.531356,"Private"
"ASHEVILLE-PISGAH CHRISTIAN SCHOOL","01013562",37021,35.568994,-82.668409,"Private"
"MOUNT PISQAH ACADEMY","01914567",37021,35.569477,-82.67043,"Private"
"TEMPLE BAPTIST SCHOOL","02162252",37021,35.588045,-82.590261,"Private"
"HANGER HALL SCHOOL","A0108265",37021,35.614471,-82.557862,"Private"
"MONTESSORI LEARNING COMMUNITY OF ASHEVILLE","A0108371",37021,35.574158,-82.613884,"Private"
"REYNOLDS MOUNTAIN CHRISTIAN ACADENY","A0108423",37021,35.646952,-82.577167,"Private"
"ASHEVILLE SCHOOL","A0302351",37021,35.566278,-82.623287,"Private"
"ELIADA ACADEMY","A0302381",37021,35.600832,-82.618163,"Private"
"CHRIST SCHOOL","A0502624",37021,35.465246,-82.487702,"Private"
"SWANNANOA VALLEY MONTESSORI SCHOOL","A0701783",37021,35.615386,-82.34002,"Private"
"THE NEW CLASSICAL ACADEMY","A0701785",37021,35.562199,-82.615087,"Private"
"NEW CITY CHRISTIAN SCHOOL","A0790131",37021,35.568641,-82.602255,"Private"
"ODYSSEY COMMUNITY SCHOOL","A0902521",37021,35.610448,-82.567548,"Private"
"FRENCH BROAD RIVER ACADEMY GIRLS PROGRAM","A1101774",37021,35.62569,-82.600481,"Private"
"ASHEVILLE WALDORF SCHOOL","A1302146",37021,35.579577,-82.587379,"Private"
"RAINBOW COMMUNITY SCHOOL","A1302214",37021,35.578169,-82.586833,"Private"
"ASHEVILLE MONTESSORI SCHOOL","A1502678",37021,35.662193,-82.582727,"Private"
"MAGNOLIA MILL SCHOOL","A1502774",37021,35.747784,-82.507955,"Private"
"TIMBERSONG BLACK MOUNTAIN","A1592130",37021,35.749309,-82.51094,"Private"
"FRENCH BROAD RIVER ACADEMY BOYS PROGRAM","A1702754",37021,35.635447,-82.598871,"Private"
"ASHEVILLE WALDORF SCH.- MAGNOL","A1903265",37021,35.57898,-82.585201,"Private"
"CANTERBURY CLASSICAL SCHOOL","A1903277",37021,35.59206,-82.591941,"Private"
"MONTFORD HALL","A1903346",37021,35.60994,-82.568491,"Private"
"ASHEVILLE ACADEMY FOR GIRLS","A1903385",37021,35.52561,-82.203971,"Private"
"THE LEARNING COMMUNITY SCHOOL","A9903362",37021,35.62895,-82.363949,"Private"
"JULIA STREET MONTESSORI SCHOOL","BB201371",37021,35.6079,-82.551661,"Private"
"NATIVITY PRESCHOOL & KINDERGARTEN","K9303546",37021,35.460498,-82.51351,"Private"
