"work_id","Primary_NAICS_Code","size","employees","FIPS","LAT","LON"
13199,11199803,"1-4",3,"37017",34.735,-78.7988
13256,56171009,"5-24",20,"37017",34.60366,-78.575123
13362,54161303,"5-24",11,"37017",34.628812,-78.606456
13391,62149301,"1-4",1,"37017",34.646,-78.6025
13686,62161001,"1-4",1,"37017",34.646,-78.6025
13733,81311008,"1-4",3,"37017",34.773177,-78.469601
13814,81311008,"1-4",1,"37017",34.66468,-78.74533
13819,11199803,"1-4",1,"37017",34.7655,-78.7208
13858,44611009,"5-24",17,"37017",34.624733,-78.606819
14229,53223009,"1-4",2,"37017",34.6584,-78.7257
14235,53223009,"5-24",18,"37017",34.624733,-78.606819
14284,23822020,"1-4",3,"37017",34.615417,-78.61377
14311,52421001,"1-4",3,"37017",34.629657,-78.607051
14541,23821007,"5-24",8,"37017",34.578148,-78.821777
14545,11199803,"1-4",1,"37017",34.752597,-78.740261
14561,23611505,"1-4",2,"37017",34.4707,-78.8257
14568,45111055,"1-4",1,"37017",34.646,-78.6025
14572,54137002,"1-4",4,"37017",34.574081,-78.676651
14815,81232002,"1-4",1,"37017",34.646,-78.6025
15026,62111107,"1-4",3,"37017",34.735,-78.7988
15307,62419036,"1-4",1,"37017",34.531745,-78.796147
15318,11199803,"1-4",2,"37017",34.82382,-78.78987
15509,49111001,"1-4",4,"37017",34.632411,-78.486995
15620,23721002,"1-4",1,"37017",34.62195,-78.730936
16038,62149301,"5-24",10,"37017",34.490436,-78.652819
16076,72251117,"1-4",2,"37017",34.646,-78.6025
16264,33451405,"100-499",280,"37017",34.635475,-78.631001
16292,72121403,"5-24",11,"37017",34.81674,-78.84262
16435,62111107,"1-4",4,"37017",34.622627,-78.60778
16484,62111107,"1-4",4,"37017",34.619803,-78.60631
16513,23835013,"1-4",4,"37017",34.6584,-78.7257
16551,62161001,"1-4",1,"37017",34.646,-78.6025
16669,42399026,"5-24",24,"37017",34.492812,-78.66981
16683,23829008,"1-4",2,"37017",34.4867,-78.6388
16685,71219004,"1-4",1,"37017",34.646,-78.6025
16791,62133003,"1-4",1,"37017",34.630477,-78.618995
16846,48411004,"5-24",6,"37017",34.551277,-78.811343
17029,11199803,"1-4",2,"37017",34.489031,-78.829172
17234,42451002,"1-4",4,"37017",34.62195,-78.730936
17248,81211202,"1-4",3,"37017",34.62131,-78.749085
17299,49111001,"5-24",14,"37017",34.538203,-78.785424
17544,81311021,"1-4",1,"37017",34.793833,-78.565951
17555,53121003,"1-4",1,"37017",34.646,-78.6025
17616,22121002,"1-4",1,"37017",34.542304,-78.796852
17630,81311008,"1-4",4,"37017",34.536089,-78.778984
17641,48423013,"1-4",4,"37017",34.553242,-78.776405
17643,72251117,"1-4",1,"37017",34.542445,-78.79805
17688,44511003,"5-24",7,"37017",34.5668,-78.7801
17798,42383050,"1-4",1,"37017",34.646,-78.6025
17847,54186007,"1-4",4,"37017",34.624733,-78.606819
18074,81311008,"1-4",3,"37017",34.735,-78.7988
18208,51121005,"5-24",24,"37017",34.60968,-78.60304
18215,92512002,"1-4",2,"37017",34.646677,-78.596457
18436,54121301,"1-4",2,"37017",34.631928,-78.617644
19006,53121005,"1-4",1,"37017",34.620857,-78.794289
19123,62133002,"1-4",1,"37017",34.624085,-78.607462
19310,11199803,"1-4",1,"37017",34.5668,-78.7801
19322,42331046,"1-4",3,"37017",34.672635,-78.794548
19390,61161011,"1-4",2,"37017",34.628812,-78.606456
19538,72251117,"1-4",4,"37017",34.4867,-78.6388
19776,23622047,"1-4",4,"37017",34.559223,-78.853539
19966,81121206,"1-4",1,"37017",34.646,-78.6025
20111,72121403,"5-24",10,"37017",34.62488,-78.488308
20158,52211002,"1-4",1,"37017",34.5668,-78.7801
20197,52213003,"5-24",5,"37017",34.7648,-78.8081
20309,62111107,"1-4",4,"37017",34.622627,-78.60778
20383,11199803,"5-24",9,"37017",34.473263,-78.628902
20393,11211103,"5-24",5,"37017",34.518673,-78.601046
20504,62331101,"25-99",45,"37017",34.533421,-78.783264
20544,72251117,"5-24",24,"37017",34.625524,-78.606855
20569,11199803,"5-24",7,"37017",34.840267,-78.770676
20598,11199803,"1-4",1,"37017",34.82382,-78.78987
20653,48411009,"1-4",4,"37017",34.589665,-78.584573
20681,54161125,"1-4",2,"37017",34.463566,-78.829872
20706,11199803,"1-4",1,"37017",34.441096,-78.557311
20719,99999004,"1-4",4,"37017",34.4867,-78.6388
20732,81311008,"1-4",1,"37017",34.52568,-78.518671
20745,11199803,"5-24",7,"37017",34.4867,-78.6388
20789,11199803,"5-24",24,"37017",34.471382,-78.708158
20790,54186007,"1-4",4,"37017",34.628593,-78.619087
20801,11199803,"5-24",24,"37017",34.474503,-78.719661
20871,62399007,"1-4",2,"37017",34.465959,-78.825412
20920,44112005,"1-4",1,"37017",34.646,-78.6025
20939,81311008,"1-4",4,"37017",34.55241,-78.609581
21054,53121003,"1-4",1,"37017",34.74449,-78.675847
21103,72251117,"5-24",6,"37017",34.639164,-78.619386
21111,11133201,"1-4",2,"37017",34.668601,-78.714049
21233,54121301,"1-4",4,"37017",34.537437,-78.680122
21246,11199803,"5-24",8,"37017",34.517263,-78.478945
21259,11211103,"5-24",5,"37017",34.4611,-78.4632
21279,81311008,"1-4",1,"37017",34.517423,-78.494105
21350,45399819,"1-4",3,"37017",34.646,-78.6025
21355,62199921,"5-24",6,"37017",34.621543,-78.606403
