"NAME","sch_id","FIPS","LAT","LON","TYPE"
"BLADEN EARLY COLLEGE","370039003477",37017,34.645814,-78.731332,"Public"
"BLADEN LAKES PRIMARY","370039000111",37017,34.7113,-78.5953,"Public"
"BLADENBORO MIDDLE","370039002617",37017,34.5303,-78.7974,"Public"
"BLADENBORO PRIMARY","370039002150",37017,34.529978,-78.794627,"Public"
"CLARKTON SCHOOL OF DISCOVERY","370039000113",37017,34.4943,-78.6527,"Public"
"DUBLIN PRIMARY","370039000114",37017,34.6553,-78.7197,"Public"
"EAST ARCADIA ELEMENTARY","370039000115",37017,34.4201,-78.3421,"Public"
"EAST BLADEN HIGH","370039000116",37017,34.5788,-78.5312,"Public"
"ELIZABETHTOWN MIDDLE","370039002618",37017,34.613728,-78.615174,"Public"
"ELIZABETHTOWN PRIMARY","370039000118",37017,34.6213,-78.6045,"Public"
"PLAIN VIEW PRIMARY","370039000119",37017,34.7379,-78.8398,"Public"
"TAR HEEL SCHOOL","370039002619",37017,34.7363,-78.7949,"Public"
"WEST BLADEN HIGH","370039002620",37017,34.6394,-78.7416,"Public"
"EMEREAU: BLADEN","370041303430",37017,34.599559,-78.572466,"Charter"
"PAUL R. BROWN LEADERSHIP ACADEMY","370035103285",37017,34.620779,-78.618286,"Charter"
"COMMUNITY BAPTIST ACADEMY","01012762",37017,34.618465,-78.74949,"Private"
"ELIZABETHTOWN CHRISTIAN ACADEMY","A1302169",37017,34.634379,-78.626595,"Private"
