"work_id","Primary_NAICS_Code","size","employees","FIPS","LAT","LON"
198356,62311020,"1-4",4,"37015",36.114474,-77.028522
199205,56221908,"1-4",1,"37015",36.2219,-77.1061
199690,81311008,"5-24",10,"37015",36.194582,-77.042466
199911,81311008,"1-4",1,"37015",36.1717,-77.211
206437,72251117,"5-24",5,"37015",35.999592,-76.946834
206442,92112006,"1-4",1,"37015",35.997979,-76.945589
206450,52211002,"5-24",9,"37015",35.998895,-76.946232
214048,62111107,"1-4",1,"37015",36.2219,-77.1061
214930,45331014,"1-4",4,"37015",36.202524,-77.24511
216139,72251117,"1-4",2,"37015",36.1894,-76.8286
216153,11199803,"1-4",1,"37015",36.1894,-76.8286
216168,11199803,"1-4",1,"37015",36.169972,-76.773499
216354,72251117,"1-4",2,"37015",36.1894,-76.8286
216413,81311008,"1-4",4,"37015",36.188426,-77.072526
216575,54161201,"1-4",2,"37015",35.998082,-76.945797
216726,42472014,"5-24",5,"37015",35.989529,-76.935861
216730,99999004,"1-4",3,"37015",35.999113,-76.947444
217198,62419036,"1-4",1,"37015",35.99831,-76.947137
217260,62149302,"5-24",7,"37015",35.988603,-76.928801
217573,62111107,"1-4",3,"37015",35.988603,-76.928801
217579,81311008,"1-4",1,"37015",36.108615,-76.938745
217596,44511003,"1-4",2,"37015",36.10971,-76.9398
217751,44611009,"5-24",7,"37015",36.201359,-76.76914
217845,33636003,"5-24",17,"37015",36.04279,-76.709402
218382,62111107,"1-4",1,"37015",35.988603,-76.928801
218497,44413005,"1-4",1,"37015",36.2219,-77.1061
218537,52421001,"1-4",4,"37015",35.998113,-76.946507
218543,52412607,"1-4",1,"37015",35.998087,-76.946441
218553,44611009,"5-24",9,"37015",35.997181,-76.950059
218573,44211024,"1-4",2,"37015",36.0028,-76.9522
218581,52421001,"1-4",2,"37015",35.998082,-76.945797
218588,51111003,"1-4",3,"37015",35.997644,-76.947516
218598,92112006,"1-4",4,"37015",35.997979,-76.945589
218604,11531004,"1-4",4,"37015",36.001065,-76.948384
219077,11199803,"5-24",17,"37015",36.066371,-76.82627
219108,44719005,"1-4",3,"37015",36.229855,-77.114708
219116,54172006,"1-4",4,"37015",36.011535,-76.77031
219131,54172006,"1-4",4,"37015",36.011418,-76.77149
219213,92112007,"1-4",4,"37015",35.989574,-76.936596
219225,61121002,"5-24",5,"37015",35.996383,-76.951598
219279,62161001,"5-24",10,"37015",36.0028,-76.9522
219286,81391005,"1-4",2,"37015",35.997688,-76.94705
219290,42382005,"5-24",6,"37015",36.178975,-76.864528
219586,54169013,"1-4",3,"37015",35.997181,-76.950059
219820,11251202,"1-4",4,"37015",36.125068,-76.849233
220061,51912006,"1-4",3,"37015",35.997787,-76.944982
220171,62399007,"1-4",3,"37015",35.942248,-76.947877
220201,54111002,"1-4",1,"37015",36.21844,-76.858153
220310,62139923,"1-4",1,"37015",35.988413,-76.930201
220518,11199803,"5-24",24,"37015",36.12174,-77.17722
220661,52393002,"1-4",1,"37015",36.0028,-76.9522
220679,92112008,"1-4",3,"37015",35.975504,-76.908116
220841,48551002,"1-4",1,"37015",35.949546,-76.952828
221342,71219004,"1-4",2,"37015",35.998697,-76.946781
221360,62441003,"5-24",10,"37015",36.183652,-77.096579
221815,72251117,"5-24",5,"37015",35.99831,-76.946006
221843,52421001,"1-4",3,"37015",35.997638,-76.94617
221856,23611506,"1-4",2,"37015",35.998151,-76.950957
221870,11199803,"1-4",1,"37015",36.0028,-76.9522
221883,45299013,"5-24",9,"37015",35.997074,-76.949989
222186,62139923,"1-4",1,"37015",35.988413,-76.930201
222311,81331908,"1-4",4,"37015",36.201518,-76.768766
223210,22121002,"5-24",9,"37015",36.038672,-76.770497
223269,62441006,"5-24",7,"37015",36.108775,-76.936821
223376,81331101,"1-4",3,"37015",35.998676,-76.953734
223389,44419044,"1-4",3,"37015",35.977971,-76.94891
223405,71219004,"1-4",2,"37015",36.006744,-76.95443
223482,92216003,"5-24",5,"37015",35.99981,-77.108324
224050,56149907,"1-4",3,"37015",36.060805,-76.866288
224087,11331003,"1-4",4,"37015",36.12336,-76.747453
224397,92216003,"1-4",4,"37015",36.2269,-76.9291
224617,62111107,"1-4",3,"37015",36.0605,-76.7611
224662,81311008,"1-4",2,"37015",35.9775,-76.953832
224968,51721014,"1-4",2,"37015",35.982078,-76.955709
224994,99999004,"1-4",2,"37015",36.062012,-77.065691
225066,53249002,"1-4",1,"37015",35.992128,-76.91727
225100,42491001,"1-4",1,"37015",36.204948,-76.872977
226138,48423013,"1-4",3,"37015",36.10644,-76.927517
226147,48422014,"1-4",2,"37015",36.086583,-77.106918
226191,23891001,"1-4",1,"37015",36.045582,-77.035788
226201,54199009,"1-4",1,"37015",36.1894,-76.8286
226678,31331019,"5-24",9,"37015",35.988792,-76.934513
227677,44812001,"1-4",1,"37015",35.997753,-76.946251
307366,81331908,"1-4",3,"37015",36.161499,-76.83408
307390,62199921,"1-4",4,"37015",35.996355,-76.948828
307455,45431017,"1-4",4,"37015",36.2219,-77.1061
307465,45431017,"1-4",2,"37015",36.2219,-77.1061
307853,99999004,"5-24",22,"37015",36.019623,-76.76922
307990,62161001,"5-24",24,"37015",36.005211,-76.961218
308001,52211001,"500-4,999",890,"37015",36.122029,-77.174003
308182,53121003,"1-4",2,"37015",36.1894,-76.8286
308684,92212003,"1-4",2,"37015",36.2219,-77.1061
308712,53111002,"1-4",1,"37015",36.225704,-77.120096
309060,45431017,"5-24",7,"37015",35.997074,-76.949989
309143,45431017,"5-24",7,"37015",36.0605,-76.7611
309146,11199803,"5-24",6,"37015",36.041153,-77.00065
309779,45431017,"1-4",4,"37015",36.2269,-76.9291
309818,45431017,"5-24",5,"37015",36.0605,-76.7611
310542,54161207,"1-4",4,"37015",35.982336,-76.957851
310690,23833007,"1-4",2,"37015",36.020723,-76.954664
311013,44512001,"1-4",4,"37015",36.122029,-77.174003
311023,81311008,"1-4",1,"37015",36.2219,-77.1061
311037,45431017,"5-24",6,"37015",35.993145,-76.943489
311060,45299013,"1-4",1,"37015",36.2219,-77.1061
311065,81311008,"1-4",4,"37015",36.2011,-77.2439
311257,52211001,"1-4",1,"37015",36.229855,-77.114708
311566,52421001,"1-4",3,"37015",35.998082,-76.945797
311696,62139932,"1-4",1,"37015",35.975504,-76.908116
